Região,Provincia,Ecorregião Marinha,Zona,x,y
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.919,48.398999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.023,48.38
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.208,48.326
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.295,48.317
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.653,48.231
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.93900000000002,48.218999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.335,48.25899999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.635,48.195
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.747,48.155
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.827,48.103
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.155,47.986000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.43099999999998,47.943000000000005
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.53799999999998,47.928999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.113,47.845
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.665,47.891000000000005
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-180.0,47.986999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-180.0,54.905
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-180.0,55.292
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-180.0,55.292
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.774,55.218999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.503,55.093999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.334,55.06100000000001
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-179.17700000000002,55.06399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.88099999999997,55.117
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.782,55.146
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.6,55.163999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.489,55.18899999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.16,55.208999999999996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-178.076,55.21
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.967,55.214
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.61900000000003,55.195
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.525,55.203
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.44,55.215
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-177.146,55.233999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.791,55.293
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.46900000000002,55.375
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-176.322,55.386
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.50799999999998,55.486999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.447,55.483999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.33700000000002,55.503
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.122,55.566
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-175.021,55.595
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.93599999999998,55.606
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.692,55.674
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.521,55.692
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-174.179,55.714
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.687,55.678999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.394,55.598
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,175.61700000000002,55.672
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,175.68400000000003,55.638999999999996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,175.825,55.668
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,175.888,55.668
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,176.05700000000002,55.661
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,176.398,55.63399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,176.71400000000003,55.549
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,176.899,55.523
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,176.988,55.492
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,177.074,55.467
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,177.231,55.409
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,177.328,55.412
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,177.609,55.424
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.287,55.355
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.398,55.321000000000005
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.551,55.305
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.842,55.269
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.956,55.235
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.10299999999998,55.271
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.433,55.29600000000001
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.632,55.325
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.905,55.31399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.99099999999999,55.294
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,180.0,55.292
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,180.0,48.02
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.892,48.025
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.71400000000003,48.013999999999996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.435,47.996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.352,47.99100000000001
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,179.252,47.982
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.99900000000002,48.023999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.635,48.063
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.463,48.114
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.15400000000002,48.168
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,178.074,48.216
